match_id,venue,inning,batting_team,bowling_team,over,ball,batsman,bowler,runs_scored,wicket,total_runs,wickets_fallen,balls_bowled,balls_remaining,current_run_rate,powerplay
1,Ahmedabad,1,India,New Zealand,1,1,Virat Kohli,Trent Boult,0,0,0,0,1,119,0.0,1
1,Ahmedabad,1,India,New Zealand,1,2,Rohit Sharma,Trent Boult,1,0,1,0,2,118,0.5,1
1,Ahmedabad,1,India,New Zealand,1,3,Hardik Pandya,Trent Boult,6,0,7,0,3,117,2.33,1
1,Ahmedabad,1,India,New Zealand,1,4,Rohit Sharma,Trent Boult,0,0,7,0,4,116,1.75,1
1,Ahmedabad,1,India,New Zealand,1,5,Virat Kohli,Trent Boult,0,0,7,0,5,115,1.4,1
1,Ahmedabad,1,India,New Zealand,1,6,Hardik Pandya,Trent Boult,4,0,11,0,6,114,1.83,1
1,Ahmedabad,1,India,New Zealand,2,1,Hardik Pandya,Tim Southee,6,0,17,0,7,113,2.43,1
1,Ahmedabad,1,India,New Zealand,2,2,Hardik Pandya,Tim Southee,3,0,20,0,8,112,2.5,1
1,Ahmedabad,1,India,New Zealand,2,3,Rohit Sharma,Tim Southee,2,0,22,0,9,111,2.44,1
1,Ahmedabad,1,India,New Zealand,2,4,Shubman Gill,Tim Southee,1,0,23,0,10,110,2.3,1
1,Ahmedabad,1,India,New Zealand,2,5,Shubman Gill,Tim Southee,2,0,25,0,11,109,2.27,1
1,Ahmedabad,1,India,New Zealand,2,6,Rohit Sharma,Tim Southee,0,0,25,0,12,108,2.08,1
1,Ahmedabad,1,India,New Zealand,3,1,Rohit Sharma,Lockie Ferguson,2,0,27,0,13,107,2.08,1
1,Ahmedabad,1,India,New Zealand,3,2,Rohit Sharma,Lockie Ferguson,6,0,33,0,14,106,2.36,1
1,Ahmedabad,1,India,New Zealand,3,3,Shubman Gill,Lockie Ferguson,3,0,36,0,15,105,2.4,1
1,Ahmedabad,1,India,New Zealand,3,4,Shubman Gill,Lockie Ferguson,6,0,42,0,16,104,2.62,1
1,Ahmedabad,1,India,New Zealand,3,5,Rohit Sharma,Lockie Ferguson,4,0,46,0,17,103,2.71,1
1,Ahmedabad,1,India,New Zealand,3,6,Shubman Gill,Lockie Ferguson,0,0,46,0,18,102,2.56,1
1,Ahmedabad,1,India,New Zealand,4,1,Suryakumar Yadav,Trent Boult,1,0,47,0,19,101,2.47,1
1,Ahmedabad,1,India,New Zealand,4,2,Shubman Gill,Trent Boult,2,0,49,0,20,100,2.45,1
1,Ahmedabad,1,India,New Zealand,4,3,Virat Kohli,Trent Boult,1,0,50,0,21,99,2.38,1
1,Ahmedabad,1,India,New Zealand,4,4,Rishabh Pant,Trent Boult,6,0,56,0,22,98,2.55,1
1,Ahmedabad,1,India,New Zealand,4,5,Rishabh Pant,Trent Boult,6,0,62,0,23,97,2.7,1
1,Ahmedabad,1,India,New Zealand,4,6,Virat Kohli,Trent Boult,1,0,63,0,24,96,2.62,1
1,Ahmedabad,1,India,New Zealand,5,1,Rishabh Pant,Tim Southee,3,0,66,0,25,95,2.64,1
1,Ahmedabad,1,India,New Zealand,5,2,Rishabh Pant,Tim Southee,6,0,72,0,26,94,2.77,1
1,Ahmedabad,1,India,New Zealand,5,3,Rohit Sharma,Tim Southee,2,0,74,0,27,93,2.74,1
1,Ahmedabad,1,India,New Zealand,5,4,Shubman Gill,Tim Southee,1,0,75,0,28,92,2.68,1
1,Ahmedabad,1,India,New Zealand,5,5,Virat Kohli,Tim Southee,3,0,78,0,29,91,2.69,1
1,Ahmedabad,1,India,New Zealand,5,6,Shubman Gill,Tim Southee,4,0,82,0,30,90,2.73,1
1,Ahmedabad,1,India,New Zealand,6,1,Rishabh Pant,Tim Southee,6,0,88,0,31,89,2.84,1
1,Ahmedabad,1,India,New Zealand,6,2,Virat Kohli,Tim Southee,3,0,91,0,32,88,2.84,1
1,Ahmedabad,1,India,New Zealand,6,3,Hardik Pandya,Tim Southee,1,0,92,0,33,87,2.79,1
1,Ahmedabad,1,India,New Zealand,6,4,Suryakumar Yadav,Tim Southee,2,0,94,0,34,86,2.76,1
